Organization Name,Category,Description,GSoC Page,Interested,Notes
Google DeepMind,,Google DeepMind's open-source projects,https://summerofcode.withgoogle.com/programs/2025/organizations/google-deepmind-sq,No,
Git,,"Fast,Scalable,Distributed revision control system",https://summerofcode.withgoogle.com/programs/2025/organizations/git,No,
GNU Radio,,The free & open software radio ecosystem,https://summerofcode.withgoogle.com/programs/2025/organizations/gnu-radio,No,
GNU Image Manipulation Program,,GIMP is a cross-platform image editor,https://summerofcode.withgoogle.com/programs/2025/organizations/gnu-image-manipulation-program,No,
GeomScale,,Scalable geometric and statistical software,https://summerofcode.withgoogle.com/programs/2025/organizations/geomscale,No,
GitLab,,Everyone can contribute,https://summerofcode.withgoogle.com/programs/2025/organizations/gitlab,No,
GNU Octave,,Free Your Numbers,https://summerofcode.withgoogle.com/programs/2025/organizations/gnu-octave,No,
GNSS-SDR,,An open source GNSS software-defined receiver,https://summerofcode.withgoogle.com/programs/2025/organizations/gnss-sdr,No,
gprMax,,Simulating electromagnetic wave propagation,https://summerofcode.withgoogle.com/programs/2025/organizations/gprmax,No,
INCF,,An open & FAIR neuroscience standards organization,https://summerofcode.withgoogle.com/programs/2025/organizations/incf,No,
International Catrobat Association,,Free visual coding apps for computational thinking,https://summerofcode.withgoogle.com/programs/2025/organizations/international-catrobat-association,No,
GRAME,,Domain specific language for audio,https://summerofcode.withgoogle.com/programs/2025/organizations/grame,No,
Internet Archive,,Universal Access to All Knowledge,https://summerofcode.withgoogle.com/programs/2025/organizations/internet-archive,No,
http://Haskell.org,,Purely functional programming language,https://summerofcode.withgoogle.com/programs/2025/organizations/haskellorg,No,
Internet Health Report,,Monitoring the Internet,https://summerofcode.withgoogle.com/programs/2025/organizations/internet-health-report,No,
HumanAI,,AI for the Arts and the Humanities,https://summerofcode.withgoogle.com/programs/2025/organizations/humanai,No,
Graphite,,"Editor, graphics engine, & compiler for art/design",https://summerofcode.withgoogle.com/programs/2025/organizations/graphite,No,
Inkscape,,Draw freely!,https://summerofcode.withgoogle.com/programs/2025/organizations/inkscape,No,
JdeRobot,,Toolkit for developing Robotics applications,https://summerofcode.withgoogle.com/programs/2025/organizations/jderobot,No,
IOOS,,"Our eyes on the ocean, coasts, and Great Lakes",https://summerofcode.withgoogle.com/programs/2025/organizations/ioos,No,
Jitsi,,State-of-the-art video conferencing,https://summerofcode.withgoogle.com/programs/2025/organizations/jitsi,No,
Jenkins,,"Jenkins, build great things at any scale",https://summerofcode.withgoogle.com/programs/2025/organizations/jenkins-wp,No,
Invesalius,,3D Medical visualization and neuronavigation tool,https://summerofcode.withgoogle.com/programs/2025/organizations/invesalius,No,
JSON Schema,,We enable the reliable use of JSON data format.,https://summerofcode.withgoogle.com/programs/2025/organizations/json-schema,No,
Joomla!,,The flexible platform empowering website creators.,https://summerofcode.withgoogle.com/programs/2025/organizations/joomla,No,
KDE Community,,Control your digital life,https://summerofcode.withgoogle.com/programs/2025/organizations/kde-community,No,
JabRef e.V.,,Stay on top of your Literature,https://summerofcode.withgoogle.com/programs/2025/organizations/jabref-ev,No,
JAX and Keras,,Python libraries for large-scale machine learning,https://summerofcode.withgoogle.com/programs/2025/organizations/jax-and-keras,No,
Kotlin Foundation,,Advance the Kotlin programming language,https://summerofcode.withgoogle.com/programs/2025/organizations/kotlin-foundation,No,
kro | Kube Resource Orchestrator,,Simplify Kubernetes API and resource management.,https://summerofcode.withgoogle.com/programs/2025/organizations/kro-kube-resource-orchestrator,No,
LibreOffice,,LibreOffice is a free and open source office suite,https://summerofcode.withgoogle.com/programs/2025/organizations/libreoffice,No,
Kornia,,"Advancing Computer Vision & Spatial AI, Openly",https://summerofcode.withgoogle.com/programs/2025/organizations/kornia,No,
KubeVirt,,Building a virtualization API for Kubernetes,https://summerofcode.withgoogle.com/programs/2025/organizations/kubevirt,No,
LabLua,,Programming Language Research with emphasis on Lua,https://summerofcode.withgoogle.com/programs/2025/organizations/lablua,No,
